tconst,titleType,startYear,runtimeMinutes,genres,averageRating,sex_code,violence_code,profanity_code,drug_code,intense_code,final_certificate
tt1013860,movie,2010,108.0,"Action,Comedy,Crime",5.1,2.0,3.0,2.0,2.0,3.0,T13
tt0118528,tvMovie,1997,117.0,"Crime,Drama",7.8,1.0,1.0,3.0,2.0,1.0,T16
tt0091993,movie,1986,107.0,"Adventure,Family,Sci-Fi",5.7,1.0,1.0,2.0,2.0,2.0,K
tt0337579,movie,2004,106.0,"Comedy,Drama",5.7,3.0,2.0,3.0,2.0,2.0,T13
tt1609479,movie,2014,91.0,"Comedy,Drama",6.2,3.0,2.0,3.0,3.0,2.0,T13
tt0988108,movie,2007,99.0,Drama,7.9,3.0,4.0,4.0,2.0,4.0,T18
tt0279064,movie,2001,89.0,"Comedy,Drama",7.5,2.0,2.0,1.0,2.0,1.0,T16
tt0089730,movie,1985,94.0,"Comedy,Drama,Fantasy",5.5,2.0,2.0,2.0,3.0,2.0,T18
tt0456149,movie,2005,153.0,"Comedy,Drama",7.8,2.0,2.0,2.0,2.0,2.0,T16
tt0103850,movie,1992,102.0,"Comedy,Drama",7.0,1.0,2.0,2.0,2.0,2.0,T16
tt7060460,movie,2017,157.0,"Action,Crime,Thriller",8.2,1.0,4.0,2.0,2.0,4.0,T13
tt4565520,movie,2017,88.0,"Comedy,Romance",4.8,2.0,1.0,3.0,2.0,1.0,T16
tt3832914,movie,2015,120.0,Drama,6.4,1.0,2.0,1.0,1.0,2.0,K
tt1999987,movie,2013,98.0,"Drama,Romance",6.3,2.0,2.0,2.0,2.0,1.0,T16
tt0117002,movie,1996,108.0,"Drama,Horror,Romance",5.8,2.0,3.0,1.0,1.0,2.0,T16
tt1686039,movie,2010,119.0,"Action,Drama",5.7,1.0,4.0,2.0,2.0,4.0,T18
tt0255819,movie,2001,130.0,"Crime,Drama,Romance",6.4,4.0,3.0,4.0,3.0,3.0,T16
tt0816436,movie,2007,90.0,"Action,Adventure,Drama",5.8,1.0,3.0,3.0,1.0,3.0,T16
tt6777338,movie,2017,124.0,"Action,Crime,Drama",6.6,1.0,4.0,2.0,2.0,3.0,T18
tt1261047,movie,2009,140.0,"Crime,Drama,Thriller",8.0,2.0,3.0,2.0,2.0,3.0,T18
tt0059017,movie,1965,97.0,Western,6.8,2.0,2.0,2.0,2.0,1.0,T18
tt0145503,movie,1999,181.0,"Drama,History,Romance",7.5,3.0,2.0,3.0,2.0,1.0,T16
tt1975249,movie,2012,115.0,"Action,Crime,Drama",6.0,3.0,4.0,4.0,2.0,3.0,T16
tt1725986,movie,2014,99.0,"Comedy,Romance",5.7,2.0,1.0,2.0,2.0,1.0,T16
tt0110882,movie,1994,113.0,"Drama,Romance,War",7.9,2.0,3.0,2.0,3.0,3.0,T13
tt0149624,movie,2000,116.0,"Drama,Romance,Western",5.8,1.0,2.0,2.0,2.0,3.0,T13
tt0326977,movie,2003,108.0,"Crime,Drama,Mystery",7.4,1.0,2.0,2.0,2.0,3.0,T16
tt5662932,movie,2016,133.0,"Crime,Drama,Thriller",7.3,3.0,4.0,4.0,4.0,3.0,T13
tt0271259,movie,2002,86.0,"Comedy,Crime",6.3,1.0,2.0,3.0,2.0,2.0,T16
tt8009744,movie,2020,118.0,"Biography,Drama,History",6.8,1.0,1.0,2.0,1.0,2.0,T13
tt10985510,video,2020,84.0,"Action,Animation,Sci-Fi",6.4,1.0,3.0,2.0,2.0,3.0,T13
tt0363473,movie,2004,118.0,"Biography,Drama,Music",6.7,2.0,1.0,3.0,2.0,1.0,T13
tt5147214,movie,2016,118.0,"Action,Drama,Thriller",6.3,1.0,4.0,3.0,2.0,4.0,T18
tt0091799,movie,1986,93.0,"Horror,Mystery,Thriller",5.4,3.0,4.0,2.0,2.0,3.0,T16
tt1564777,movie,2016,91.0,"Drama,Fantasy,Romance",5.3,1.0,2.0,2.0,2.0,2.0,T13
tt3212232,movie,2016,92.0,"Action,Thriller",5.4,1.0,4.0,3.0,2.0,2.0,T16
tt3447590,movie,2022,117.0,"Comedy,Drama,Family",7.2,1.0,2.0,2.0,1.0,2.0,K
tt0780567,movie,2009,107.0,"Comedy,Drama,Family",5.6,1.0,1.0,1.0,1.0,1.0,K
tt0076221,movie,1977,105.0,"Adventure,Comedy,Fantasy",6.2,3.0,3.0,2.0,2.0,3.0,T18
tt1718199,movie,2011,115.0,"Action,Crime,Drama",7.0,1.0,4.0,1.0,2.0,3.0,T18
tt5789976,movie,2018,108.0,"Biography,Crime,Drama",5.5,2.0,2.0,4.0,3.0,2.0,K
tt0117826,movie,1996,87.0,"Comedy,Fantasy,Horror",5.4,3.0,4.0,3.0,3.0,3.0,T18
tt0785077,movie,2007,93.0,"Comedy,Sport",2.2,3.0,2.0,2.0,2.0,4.0,T13
tt13139228,movie,2022,113.0,"Drama,Romance",6.5,3.0,2.0,1.0,2.0,2.0,T16
tt0052572,movie,1959,105.0,Drama,8.5,1.0,2.0,1.0,1.0,2.0,P
tt8893974,movie,2021,98.0,Drama,6.7,2.0,2.0,2.0,2.0,2.0,T16
tt0113613,movie,1995,92.0,"Comedy,Crime,Drama",6.7,2.0,2.0,3.0,2.0,2.0,T16
tt1017456,movie,2008,149.0,"Action,Crime,Drama",6.6,2.0,3.0,2.0,2.0,2.0,K
tt0144715,movie,1999,115.0,"Comedy,Drama",5.9,4.0,2.0,3.0,3.0,3.0,T16
tt10915286,movie,2019,86.0,"Documentary,Drama,Mystery",7.6,3.0,1.0,3.0,1.0,3.0,T16
tt9134216,movie,2019,96.0,"Comedy,Family",5.1,2.0,2.0,1.0,1.0,2.0,P
tt0062759,movie,1969,94.0,"Adventure,Comedy,Crime",8.3,2.0,2.0,2.0,2.0,1.0,T18
tt6772804,movie,2019,97.0,"Action,Crime,Thriller",4.4,1.0,4.0,4.0,1.0,3.0,T18
tt8254556,movie,2018,105.0,Drama,7.1,3.0,2.0,1.0,2.0,2.0,T16
tt0092272,movie,1986,110.0,"Drama,Romance,Sport",6.2,3.0,2.0,3.0,2.0,2.0,T13
tt6866224,movie,2018,111.0,"Drama,Thriller",6.2,1.0,1.0,3.0,2.0,2.0,T16
